"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"11","TNRERA/7/BLG/0011/2026                                 dated 05-01-2026","M/s.Sri Kumaran Associates, Door No.5/265-1, Rajiv Gandhi Nagar, NGGO Colony, Namakkal, Namakkal, Tamil Nadu-637001.","Registration for Registration for Stilt Floor + 4 Floors Residential Apartment Building with 16 Dwelling Units at Comprised in Old S.No.110/2A, Wad.13, New S.No.110/2A1A1A1C, Old S.No. 110/2A, Karuppur Village, Omalur Taluk, Salem District.","The Assistant Director, T&CP, Salem District PP Approval Letter No. & Date: SWP/BPA/400282/2024 dated 24/12/2024. The Executive Officer, Karuppur Town Panchayat Building Licence No. & Date: 499/2025 dated 28/02/2025","31.08.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-114437.1976;Longitude-78251.3060;","",""
"12","TNRERA/29/BLG/0012/2026                                 dated 13-01-2026","Ms INDIA BUILDERS CHENNAI LIMITED 1.PREMILA HARIMOHAN 2.VIDYA SHANKAR 3.BHANUMATHI KANNAN 4.(i) C.V.MURALI (ii) RAGHU VENKAT NARAYAN 5.C.S.VEERARAGHAVAN 6.B.KANAKARAJU, Plot No.AA-36, 3RD STREET, 3RD MAIN ROAD, ANNA NAGAR, Chennai, Tamil Nadu-600040.","Project Name: RAGHURegistration for Stilt Floor(Parking) + 5 Floors Residential Building 10 dwelling units of Block no B6, 6th cross street and 11th Cross street, Goch Colony, Besant Nagar, comprised in T.S.No.8/10, Block no.40 of Urur Village, Chennai District.","CMDA issued Planning permission No. OL-PP/NHRB/0249/2025 in Letter No: CMDA/PP/NHRB/S/0098/2025 dated 27/06/2025. Greater Chennai Corporation issued Building permission in Letter No: CEBA/WDCN13/00279/2025 dated 12.07.2025.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.027352;Longitude-80.253214;","",""
"13","TNRERA/11/BLG/0013/2026                                 dated 13-01-2026","M/s. Zenvistas Realty Ventures LLP, C/o. Sri Baby Property Developers Pvt Ltd,365/12, 5th floor, 5B, Mayflower Signature,Avinashi road,, Peelamedu , Coimbatore - 641  004, Coimbatore, Tamil Nadu-","Project Name: ZENORARegistration for  Residential Building with Block Nos. 1 to 59  of  Ground  Floor + 2 Floors with 1 dwelling unit each totally 59 dwelling units and Block No.60 Amenities Block with Ground Floor + 4 Floors ( Ground Floor - Cafe , Buffet court & Dining , 1st Floor - Library , Gaming zone & Yoga room , 2nd Floor- Gym , Activity room & Bussiness room , 3rd Floor - Saloon & Spa , Mini theatre Game room , 4th Floor - Swimming pool)  Comprised in S.Nos. 917/1 , 918/2 , 918/3 , 918/4B of  Kalapatti (East)   Village , Coimbatore  North  Taluk , Coimbatore District.","The  Joint  Director , T&CP , Coimbatore District has issued planning permission vide letter No. SWP/BPA/0614755/2025 dated 29.11.2025. The Commissioner ,Coimbatore  City  Municipal  Corporation has issued building permission vide letter No. 162/BL/2025/02/006/02041  dated 12.12.2025","11.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.065518;Longitude-77.049703;","",""
"14","TNRERA/10/BLG/0014/2026                                 dated 13-01-2026","M/s. CHEVVEL CONSORTIUM, Door No.88/2, ERANIYAN STREET, SOLAR, Erode, Tamil Nadu-638002.","Project Name: FAIR FIELDRegistration for Stilt Floor + 4 Floors with 12 Dwelling Units at Survey No.1349/5G, Erode ‘C’ Village, Erode Taluk, Erode District.","The Assistant Director, T&CP, Erode District has issued Planning Permission in Planning Permission No. 05/2024 in Letter ROC No. SWP/BPA/072446/2023, dated 05/02/2024. The Commissioner, Erode Corporation has issued Building Permission in Letter RC No. 056/BL/2024/00185, dated 15/03/2024.","01.03.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.323202;Longitude-77.752934;","",""
"15","TNRERA/29/BLG/0015/2026                                 dated 13-01-2026","M/s SRI AYYAN HOMES, Door No.12B, Ground floor,  Vallakottai Murugan Street, Rajamanikkam Nagar,  Keelkattalai - Chennai 600117, Chennai, Tamil Nadu-","Project Name: AYYAN DEVESHRegistration for  Stilt Floor + 4 Floors + 5th Floor(pt)  Residential Building with 37 Dwelling Units (Affordable Housing) at Vignarajapuram 2nd Main Road , Vengaivasal, Chennai 600126 comprised in Old S.No.41/4B4 & 41/4B5 , as per patta New S.No.41/4B4A2 & 41/4B5A2 of Vengaivasal Village within the Limits of St.Thomas Mount Panchayat Union, Chennai District.","CMDA issued Planning Permission No. OL-PP/NHRB/0460/2025 in Letter No. CMDA/PP/NHRB/S/0559/2025, Dated 17/11/2025. The President, Vengaivasal Village Panchayat, issued Building Permission in Letter ROC No. 84/2025, Dated 25/11/2025.","31.12.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.93196;Longitude-80.190964;","",""
"16","TNRERA/1/BLG/0016/2026                                 dated 13-01-2026","G CHANDRASHEKAR, Door No.4/24,, 3rd STREET JEEVAN NAGAR,Adambakkam, Chennai, Kancheepuram, Tamil Nadu-600088.","Project Name: ISHWARYA APARTMENTSRegistration for Stilt Floor + 3 Floors Residential Building with 15 Dwelling units Comprised in Old.S.No.206/8 (Document), S.Nos.206/8A, 206/8B & 206/8C (Patta) of Medavakkam Village, Chennai District.","CMDA issued Planning Permission No: OL-PP/NHRB/0167/2025 in Letter No: CMDA/PP/NHRB/S/0254/2025 dated 13/05/2025. The Executive officer/Village Panchayat, issued building permission in Letter ROC No: 31/2025 dated 31/07/2025.","12.05.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.920676;Longitude-80.194966;","",""
"17","TNRERA/29/BLG/0017/2026                                 dated 13-01-2026","M/s.HANSA ESTATES PRIVATE LIMITED, Door No.19, Wheatcroft Road, Nungambakkam, Chennai - 600034, Chennai, Tamil Nadu-","Project Name: HANSA DIAMONDRegistration for construction of Group Housing of Residential Development consisting of 2 Blocks , Block -1: Stilt Floor (Parking) + 4 Floors + 5th Floor Part (Height -18.0m) with 36 Dwelling units, Block -2: Stilt Floor (Parking) + 4 Floors + 5th Floor Part (Height -18.0m) with 28 Dwelling units, Totally 64 Dwelling units (Affordable Housing) at Public purpose plot in Approved Layout PPD./ L.O No.34/2016, in Gems Park Road and KCP Road, Thiruvottiyur, Chennai District Comprised in Old S.No.276, 277, 278, 279/1 and T.S.No.7/11, Block No.18, Ward-G, of Thiruvotriyur Village within the limits of Greater Chennai Corporation, Thiruvotriyur Taluk, Chennai District.","The CMDA issued Planning Permission No.OL-PP/NHRB/0061/2025 in Letter No.CMDA/PP/NHRB/N/0821/2024 dated 25/02/2025. The Greater Chennai Corporation issued Building Permission No.CEBA/WDCN01/00138/2025 dated 03/04/2025.","30.04.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.164805;Longitude-80.296458;","",""
"18","TNRERA/35/BLG/0018/2026                                 dated 14-01-2026","Isha Homes (India) Private Limited, Plot No.Old No. 55, New No. 74,, First Avenue, Indira Nagar, Adyar Village , Chennai, Chennai, Tamil Nadu-600020.                                                                        RISHAB DEVELOPERS, Door No.Unit 311, Alpha Wing, 3rd Floor, Raheja Towers, Anna Salai, Chennai, Chennai, Tamil Nadu-600002.","Project Name: ISHA UNI5Registration for Registration for Residential Group development comprising of 5 Blocks, Block A: Stilt floor (Parking & Pump room) + 1st floor (pt)+ 2nd floor + 3rd floor (pt) + 4th & 5th floor (height-18.30m) with 28 dwelling units (Association Room & IndoorGames at 1st floor, Gym, Yoga & Table Tennis rooms at 2nd floor); Block B: Stilt floor (parking) + 5 floors(height18.30m) with 30 dwelling units; Block C: Stilt floor (Parking) + 5 floors (height-18.30m) with 40 dwellingunits; Block D: Stilt floor (Parking) + 5 floors (Height-18.30m) with 40 dwelling units; Block E: Stilt floor (Parking) +5 floors (height-18.30m) with 35 dwelling units, totally 173 dwelling units (Affordable Housing) at TVS EmeraldGreen acres layout road, Kolapakkam, chennai comprised in s.no. 46/1E, 46/2B & 57/6 of Kolapakkam villagewithin the limits of Kattankulathur Panchayat Union, Vandalur Taluk, Chengalpattu District.","CMDA issued planning permission inOL-PP/NHRB/0437/2025 vide letter No. CMDA/PP/NHRB/S/0396/2025 dated 05/11/2025. President, Kattankolathur Village Panchayat issued building permission in Letter No. Roc No: 02/2025-2026, Dated 22/11/2025.","22.11.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.876028;Longitude-80.111361;","","Change of Project Bank: State Bank of India, SME Ekkaduthangal Branch, Chennai - 600032 (Collection A/c No.44954897406, Separate A/c No.44948409065, Transaction A/c No.44954794375)"
"19","TNRERA/29/BLG/0019/2026                                 dated 14-01-2026","GT Bharathi Urban Developers Pvt  LTD, Door No.81 & 83, Dr. Alagappa Road, Purasaiwakkam, Chennai, Tamil Nadu-600084.","Project Name: REPUBLIC OF NATURE PHASE - IIRegistration for Block – 6 with Stilt+2 Floors 30 Dwelling Units, Block 8, 9, 10, 11 with G+1st Floor residential building with 8 Dwelling Units, Block: 7 with G+ 4 Floors with 91 Dwelling Units (Totally 129 Dwelling Units) comprised in S.No. 287/3C, 287/4A, 287/5A1, 287/5B, 287/5C, 287/5D1, 287/6A, 287/6B1, 287/7E3, 287/7F3, 287/7G3, 287/7H3, 287/7I3, 287/7J, 287/7K, 287/8,287/9A3, 287/9B3, 287/9C1, 287/11C, 287/12A, 287/13A, 287/13B, 287/14, 287/15, 287/16A, 288/7A, 288/8C, 288/9A, 288/9B, 288/9C, 288/9E1, 288/10, 288/11A, 288/11B, 288/12A1, 288/12B1, 289/2A, 289/2B, 289/2C, 289/2D, 289/2E, 289/2F, 289/2G, 289/2H, 289/3A, 289/3B, 289/3C, 289/3D, 289/4, 290/15D3, 290/15F1, 290/15G1, 290/15H1, 290/15I1 of  Vadanemmeli Village (Hamlet of Thiruvidanthai), Thiruporur Taluk, Chengalpattu District.","The Assistant Director, T&CP, Chengalpattu, issued Planning Permission No. SWP/B.P/M.L.P.A (CD-5) No.104/202 in Letter No. SWP/BPA/483172/2025 Dated 13/10/2025. The President, Vadanemmeli Village Panchayat issued Building Permission in Letter ROC No: 02/2025-2026 Dated 18/11/2025.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.749783;Longitude-80.237324;","",""
"20","TNRERA/35/BLG/0020/2026                                 dated 22-01-2026","M/s. VNCT GLOBAL LLP, Door No.2, SUN CENTRE, First Floor, Tank Bund Road, Nungambakkam, Chennai, Tamil Nadu-600034.","Project Name: PALM BEACH – PHASE IIRegistration for Registration for Plot No. A1, Villa No. 23 - Ground Floor + First Floor with 01 Dwelling Units,  Plot No. A2, Villa No. 24 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. A3, Villa No. 25 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B1, Villa No. 26 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B2, Villa No. 27 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B3, Villa No. 28 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C1, Villa No. 29 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C2, Villa No. 30 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C3, Villa No. 31 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. D1, Villa No. 32 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. D2, Villa No. 33 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. D3, Villa No. 34 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. D4, Villa No. 35 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. D5, Villa No. 36 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C4, Villa No. 37 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C5, Villa No. 38 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. C6, Villa No. 39 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B4, Villa No. 40 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B5, Villa No. 41 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. B6, Villa No. 42 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. A4, Villa No. 43 - Ground Floor + First Floor with 01 Dwelling Units,  Plot No. A5, Villa No. 44 - Ground Floor + First Floor with 01 Dwelling Units, Plot No. A6, Villa No. 45 - Ground Floor + First Floor with 01 Dwelling Units (Totally 23 Villas) at Survey Nos. 219/4D1 & 219/4D2, 219/4E, 219/4F, 219/4G, 219/4F, 219/5A1B, 219/15, 219/16 of Nemmeli Village, Thiruporur Taluk, Chengalpattu District.","The President, Nemmeli Village, Thiruporur Taluk, Chengalpattu District has issued Building Permission in Letter RC No. SWP/SCM/DTCP/RP/0294084/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291302/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291317/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291353/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291436/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291471/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291505/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291581/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291599/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292435/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292475/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292583/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292115/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292064/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291610/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0291812/2025, dated 27.10.2025, WP/SCM/DTCP/RP/0291919/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0290742/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0290704/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0290688/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0294072/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0290479/2025, dated 27.10.2025, SWP/SCM/DTCP/RP/0292555/2025, dated 27.10.2025","31.10.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.642865;Longitude-80.139038;","",""
"21","TNRERA/11/BLG/0021/2026                                 dated 23-01-2026","M/s. Sree Daksha Property Developers India Pvt Ltd.,, SREE DAKSHA PROPERTY DEVELOPERS, NO1 GANDHY LAYOUT, VADAVALLI, Coimbatore, Tamil Nadu-641041.","Project Name: SREE DAKSHA'S LEIARegistration for (Group Development building) of 29 Villas with Ground +1 Floor  comprised in Survey No. 333/1A, 333/1B AND 333/1C of  Veerakeralam Village, Perur Taluk, Coimbatore District.","The Joint Director, DTCP, Coimbatore  issued planning permission in P.P. No.533/2025 vide Letter No.SWP/BPA/0663921/2025 Dated 06/11/2025. The Commissioner, Coimbatore Corporation issued building permission in Letter No. 162/BL/2025/03/039/02015  Dated 08/12/2025.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.00537;Longitude-76.53214;","",""
"22","TNRERA/30/BLG/0022/2026                                 dated 23-01-2026","A.Govindaraj, Door No.B7, Hosur- Thally Road, Thally Hudco, New ASTC Hudco, Appavu Nagar, HOSUR, Krishnagiri, Tamil Nadu-635109.","Project Name: ANAND ELITE APARTMENTRegistration for Stilt Floor + 5 Floors with 50 Dwelling Units at Survey Nos. 398/2, 398/7, 235/3A2 of Mookandapalli Village, Hosur Taluk, Krishnagiri District.","The Deputy Director, T&CP, Krishnagiri District has issued Planning Permission in B.P/H.N.T.D.A (K.D) No. 89/2025 in Letter ROC No. SWP/BPA/509481/2025, dated 12/08/2025. The Commissioner, Hosur Corporation has issued Building Permission in Letter RC No.153/BL/2025/00109, dated 26/09/2025.","31.05.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.71872;Longitude-77.80247;","",""
"23","TNRERA/20/BLG/0023/2026                                 dated 27-01-2026","GD Foundations, 4c sai prema apartment, sathyasai nagar, Madurai, Tamil Nadu-625003.                                                                        GD Foundations, B. Keshubchander and N.Velu, G.Rajendran, G.Kanagarajan, G.Pirithvairaj, No.43, Sathya Sai Nagar, TVS Nagar, Palanganatham, Madurai, Tamil Nadu-625003.                                                                        G Rajendran, 14H, Sathya sai nagar, VTC: Madurai South, Palanganatham, Madurai, Tamil Nadu-625003.                                                                        G Kanagarajan, No 14J, Sathiya sai nagar 2nd main road, madurai south, palanganatham,, Madurai, Tamil Nadu-625003.                                                                        G Pirithivairaj, 4c sai prema apartment, sathyasai nagar, Madurai, Tamil Nadu-625003.","Project Name: SAI RAMRegistration for Stilt Floor + 5 Floors with Residential Group Housing building with Block 1 and 2  with 50 dwelling units comprised in T.S No. 153/5, 153/6, 153/7 Old Survey No. 210/1 Part, 210/2 Part   Block No. 35 of Madakulam Village, thiruparankundram Taluk, Madurai District.","The Assistant Director, DTCP, Madurai  issued planning permission in P.P.No.146/2025 vide Letter No. SWP/BPA/0353911/2024 Dated 27/05/2025. The Executive Engineer, Madurai Corporation issued building permission in Letter No.115/CP/25-26/0040334 Dated 19/08/2025.","31.12.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-9.910951;Longitude-78.096058;","",""
"24","TNRERA/29/BLG/0024/2026                                 dated 27-01-2026","TNUHDB, TNUHDB Division -V, Mylapore, Chennai, Tamil Nadu-600004.","Project Name: ANDIMANIYAM THOTTAMRegistration of 4 Blocks of High Rise Group Development - consisting of Block- A: Partly Stilt floor / Partly Ground floor + 12 floors - Residential Building with 237 Dwelling units, BlockB: Partly Stilt floor /Partly Ground floor + 13 floors - Residential Building with 432 Dwelling units, Block- C: Stilt floor + 3 floors - Residential Building with 18 Dwelling units; and Block-D: Stilt floor + 3 floors - Residential Building with 15 Dwelling units to the existing GF + 3 floors - 24 Dwelling units (Type-A1), GF + 3 floors - 24 Dwelling units (TуpeA2), (Totally 702 + 48 = 750 Dwelling units) at R.K.Mutt Road, Venkatakrishnan Road, Andimanyamthottam, Mylapore, comprising in  R.S. No. 4123/1(Part), Block No. 89 of Mylapore Village,  Chennai District.","CMDA issued Planning permission No. PC/HRB/07/A TO M/2025 in Letter No. C3(S)/1746/2023 dated 22/08/2025. The Greater Chennai Corporation issued Building permission  issued building permission in Letter No.CEBA/WDCN09/00504/2025 dated 26/11/2025.","25.11.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-3.027173;Longitude-80.265264;","",""
"25","TNRERA/29/BLG/0025/2026                                 dated 27-01-2026","TNUHDB, TNUHDB Division 2, Kalyanapuram, Vyasarpadi, Chennai, Tamil Nadu, Vyasarpadi, Chennai, Tamil Nadu-600039.","Project Name: East Cemetry Road schemeRegistration for Residential Building 5 Blocks, Block No: A Stilt Floor (part) + Ground Floor (Part) +  11 Floors with 414 dwelling units Block No: B & C: Stilt Floor (Part) + Ground Floor (Part) + 11 Floors with 740 dwelling units Block No: D: Stilt Floor (Part) + Ground Floor (Part) + 11 Floors with 184 dwelling units Block No: E: Stilt Floor (Part) + Ground Floor (Part) + 11 Floors with 162  dwelling units(Totally 1500 dwelling units) Comprised in R.S.No. 1651/2, Block No: 23, Ward-51 of Tondiarpet Village, Tondiarpet Taluk, Chennai District.","CMDA issued Planning Clearance No PC/HRB/14 (A to I) /2025 in Letter No.C3 (N) / 12415 / 2024, dated:16.12.2025. The Greater Chennai Corporation, issued Building Permission No. CEBA/WDCN04/00540/2025 Dated: 23.12.2025.","22.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.1096457;Longitude-80.283182;","",""
"26","TNRERA/11/BLG/0026/2026                                 dated 27-01-2026","Sri Gujan Builder, Plot No.6/29, East Street, Thondamuthur Village , Coimbatore, Coimbatore, Tamil Nadu-641109.                                                                        Sinduja and Elamathi, Plot No.319, Kamachiamman Kovil Street, Navavoor Village , Coimbatore, Coimbatore, Tamil Nadu-641046.","Project Name: GUJANS PARIPALANA PHASE IV BLOCK-1Registration for Stilt Floor + 5 Floors residential building with 30 dwelling units at site Nos- 1,2,3 East, 16 East, 17, 18, comprised in S.F.Nos.144/2A6, 144/2A7, 144/2A8, 144/2A9, 144/2A14, 144/2A15, 144/2A16, 144/2A17 of Madampatti Village, Perur Taluk, Coimbatore Corporation, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning Permission No: 432/2025 in Lr ROC No: SWP/BPA/581882/2025 dated 21/07/2025.  The President, Thodamuthur Panchayat Union issued building permission in Lr No: 34 dated 01/08/2025.","30.04.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.935715;Longitude-76.874078;","","Change of Project Bank: City Union Bank Ltd., Perur Branch, Coimbatore - 641010 (Collection A/c No.510909010386000, Separate A/c No.510909010387258, Transaction A/c No.510909010387233)"
"27","TNRERA/29/BLG/0027/2026                                 dated 27-01-2026","M/s.GKS PROPERTIES PVT LTD, Door No.3, CLUB ROAD, CHETPET Village , CHENNAI, Chennai, Tamil Nadu-","Project Name: TULIVE ROSENDALERegistration for  Stilt floor + 5 floors (Height – 18.30m) Residential Building with 10 Dwelling units at new Door No.42, Old Door No.50, Beach Road, Kalashethra Colony, Chennai 600090, comprised in S.No.166/2 (Pt) (Document) and T.S.No.15, Block No.56 of Thiruvanmiyur Village, Chennai District.","CMDA issued Planning Permission No: OL-PP/NHRB/0428/2025 in Lr No: CMDA/PP/NHRB/S/0738/2025 dated 28/10/2025.   Greater Chennai Corporation issued building permission in Lr No: CEBA/WDCN13/00481/2025 dated 27/11/2025.","31.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.993427511937178;Longitude-80.26425770210388;","",""
"28","TNRERA/11/BLG/0028/2026                                 dated 27-01-2026","M/s.Sri Gujan Builder, Door No.6/29, East Street, Thondamuthur, Coimbatore, Tamil Nadu-641109.                                                                        S.Sinduja, iii) N.Elamathi, Door No.319, Kamachiamman Kovil Street, Navavoor, Coimbatore, Tamil Nadu-641046.","Project Name: GUJANS PARIPALANA PHASE IV BLOCK-2Registration for Stilt Floor + 5 Floors Residential Building with 30 dwelling units at site Nos- 3 west, 4, 5, 14, 15, 16west - S.F.Nos.144/2A2, 144/2A3, 144/2A4, 144/2A5, 144/2A10, 144/2A11, 144/2A12, 144/2A13 of Madampatti Village, Perur Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning Permission No: 134/2025 in Lr No: SWP/BPA/581078/2025 dated 21.07.2025. The President, Thondamuthur Panchayat Union has issued Building Permission in Lr No.33, dated 01/08/2025.","30.04.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.935715;Longitude-76.874078;","","Change of Project Bank: City Union Bank Ltd., Perur Branch, Coimbatore - 641010 (Collection A/c No.510909010387240, Separate A/c No.510909010387232, Transaction A/c No.510909010387241)"
"29","TNRERA/29/BLG/0029/2026                                 dated 27-01-2026","M/s. NETWORK INFRA BUILDCON PRIVATE LIMITED, Door No.6, PADMANABHA NAGAR 2ND STREET, ADYAR, Chennai, Tamil Nadu-600020.","Project Name: THE GRIDRegistration for Stilt Floor + 1st and 2nd Floor (Shop) and 3rd Floor, Office - Commercial Building at Plot No.6 part , Door No.6 , Secretariat Colony , Ambattur , Chennai. Comprised in Old S.No. 604/1B part , T.S.No.28/2 , Block No.10 , Ward - B  of  Ambattur  Village , Ambattur  Taluk , Chennai District.","The Senior Planner , Area Plan Unit , CMDA , Chennai has issued planning permission vide letter No. PP/NHRB/N/603/2021 dated 19.05.2022. The Executive Engineer (T.P.) , Greater Chennai Corporation , Chennai has issued building permission vide letter No.CEBA/WDCN07/00200/2022  dated  12.07.2022.","31.12.2026","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.122478;Longitude-80.148836;","",""
"30","TNRERA/5/BLG/0030/2026                                 dated 30-01-2026","P SETHUMANICKAM, Door No.D NO 14, POST OFFICE STREET,  KRISHNA NAGAR, ALLAPURAM, Vellore, Tamil Nadu-632001.                                                                        S NANDHINI, Door No.D NO 14, POST OFFICE STREET,  KRISHNA NAGAR, ALLAPURAM, Vellore, Tamil Nadu-632001.","Project Name: RESIDENTIAL HOUSERegistration for Stilt Floor (Parking) + 5 Floors Residential building with 15 dwelling units at comprised in T.S.No. 81 (Old S.F.No.189/2), Plot No. A2/65 in Approved Layout No. L.P.H./D.T.P.: 74/60, Ward No.9, Block No. 5, Zone-I of Gandhi Nagar, Vellore City Municipal Corporation, Katpadi Taluk, Vellore District.","The Joint Director, T&CP, Vellore District issued Planning Permission No.B.P./VELLORE-LPA/P.P.NO.12/2025 in Letter No.SWP/BPA/484073/2025  dated 25/04/2025. The Commissioner, Vellore City Municipal Corporation issued Building Permission No.035/CP/25-26/0002807 in Letter No.035/BPA/2025/00156 dated 29/05/2025.","31.05.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.952803;Longitude-79.140012;","",""
"31","TNRERA/29/BLG/0031/2026                                 dated 30-01-2026","M/s.HRPL Homes and Infrastructures Pvt Ltd Rep by its Director Thiru.S.S.Prasad Babu, Door No.No.11/42, 12TH AVENUE, ASHOK NAGAR, CHENNAI - 600083, Chennai, Tamil Nadu-","Project Name: HARMONY NAVRANGRegistration for Promoter share of Flats Nos.102, 302, 402, 501, 502, 503 (Total 06 Flats), Stilt Floor + 5 Floors (18.30m - height) Residential Building with 15 dwelling units Availing Premium FSI with TOD Benefit at Old Door No.179, New No.12, Rangarajapuram main Road, Kodambakkam, Chennai – 600 024. comprised in (Paimash Nos.1016,1017, 1018 & 1019) and T.S.No.66, Block No.37, of Puliyur Village within the limit of Greater Chennai Corporation, Egmore Taluk, Chennai District.","The CMDA issued Planning Permission No.OL-PP/NHRB/0381/2025 in Letter No.CMDA/PP/NHRB/C/0261/2025 dated 29/09/2025. The Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN10/00461/2025 dated 10/11/2025 .","30.06.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.04608;Longitude-80.22911;","",""
